source,target,value
null,geo,-1
geo,Iringa,-1
geo,Mara,-1
geo,Manyara,-1
geo,Mtwara,-1
geo,Kagera,-1
geo,Tanga,-1
geo,Shinyanga,-1
geo,Tabora,-1
geo,Pwani,-1
geo,Ruvuma,-1
geo,Kilimanjaro,-1
geo,Rukwa,-1
geo,Mwanza,-1
geo,Kigoma,-1
geo,Lindi,-1
geo,Dodoma,-1
geo,Arusha,-1
geo,Mbeya,-1
geo,Singida,-1
geo,Morogoro,-1
geo,Dar es Salaam,-1
Iringa,Ludewa,-1
Iringa,Njombe,-1
Iringa,Kilolo,-1
Iringa,Makete,-1
Iringa,Iringa Rural,-1
Iringa,Mufindi,-1
Mara,Serengeti,-1
Mara,Musoma Rural,-1
Mara,Bunda,-1
Mara,Tarime,-1
Mara,Rorya,-1
Manyara,Simanjiro,-1
Manyara,Mbulu,-1
Manyara,Hanang,-1
Manyara,Kiteto,-1
Manyara,Babati,-1
Mtwara,Nanyumbu,-1
Mtwara,Masasi,-1
Mtwara,Mtwara Rural,-1
Mtwara,Newala,-1
Mtwara,Tandahimba,-1
Mtwara,Mtwara Urban,-1
Kagera,Karagwe,-1
Kagera,Bukoba Rural,-1
Kagera,Bukoba Urban,-1
Kagera,Muleba,-1
Kagera,Misenyi,-1
Kagera,Chato,-1
Kagera,Biharamulo,-1
Kagera,Ngara,-1
Tanga,Mkinga,-1
Tanga,Muheza,-1
Tanga,Lushoto,-1
Tanga,Korogwe,-1
Tanga,Tanga,-1
Tanga,Handeni,-1
Tanga,Pangani,-1
Tanga,Kilindi,-1
Shinyanga,Shinyanga Rural,-1
Shinyanga,Kahama,-1
Shinyanga,Maswa,-1
Shinyanga,Meatu,-1
Shinyanga,Bariadi,-1
Shinyanga,Bukombe,-1
Shinyanga,Kishapu,-1
Shinyanga,Shinyanga Urban,-1
Tabora,Tabora Urban,-1
Tabora,Urambo,-1
Tabora,Sikonge,-1
Tabora,Igunga,-1
Tabora,Nzega,-1
Tabora,Uyui,-1
Pwani,Mkuranga,-1
Pwani,Bagamoyo,-1
Pwani,Mafia,-1
Pwani,Kibaha,-1
Pwani,Kisarawe,-1
